PolicyNumber,Fault,BasePolicy,VehiclePrice,Age,NumberOfSuppliments,AccidentArea,MonthClaimed_cos,Sex,VehicleCategory_Utility,VehicleCategory_Sport,Deductible_700,Deductible_400
1459,1,2,1,0.40625,1,1,-1.8369701987210297e-16,1,0.0,0.0,0.0,1.0
9908,0,1,1,0.828125,0,1,-0.8660254037844387,0,0.0,1.0,0.0,1.0
6534,1,3,1,0.59375,1,1,0.8660254037844384,0,0.0,0.0,0.0,1.0
15137,0,3,2,0.265625,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
2206,1,2,1,0.203125,2,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
7745,1,3,1,0.171875,0,1,1.0,0,0.0,0.0,0.0,1.0
4243,1,1,1,0.296875,1,1,-1.8369701987210297e-16,1,0.0,1.0,0.0,1.0
14846,1,2,5,0.1875,0,1,-1.0,0,0.0,0.0,0.0,1.0
7335,1,2,1,0.28125,3,1,6.123233995736766e-17,0,0.0,0.0,0.0,1.0
13466,0,3,1,0.421875,0,0,-0.5000000000000004,0,0.0,0.0,0.0,1.0
9068,1,3,1,0.296875,3,1,6.123233995736766e-17,1,0.0,0.0,0.0,1.0
1564,1,3,2,0.234375,1,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
4887,1,1,3,0.265625,0,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
9658,1,1,5,0.59375,0,1,-0.4999999999999998,0,0.0,1.0,0.0,1.0
1580,1,2,5,0.609375,0,0,0.8660254037844384,0,1.0,0.0,0.0,1.0
7913,1,1,0,0.15625,3,1,0.5000000000000001,1,0.0,1.0,0.0,1.0
13434,1,2,1,0.6875,0,1,-0.4999999999999998,0,0.0,0.0,0.0,1.0
5596,1,2,1,0.078125,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
499,1,2,0,0.453125,0,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
7586,0,3,1,0.53125,3,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
13178,1,3,1,0.15625,3,1,-0.5000000000000004,0,0.0,0.0,0.0,1.0
14152,1,2,1,0.15625,0,1,-0.8660254037844388,0,0.0,0.0,0.0,1.0
6061,1,2,2,0.21875,0,0,0.5000000000000001,0,0.0,0.0,0.0,1.0
7113,1,1,2,0.1875,3,1,0.8660254037844387,0,0.0,1.0,0.0,1.0
11371,0,2,1,0.5625,0,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
10006,1,1,2,0.40625,2,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
14495,0,1,1,0.625,2,1,0.8660254037844387,0,0.0,1.0,0.0,1.0
2918,0,3,1,0.328125,0,0,-0.4999999999999998,0,0.0,0.0,0.0,1.0
10875,1,2,5,0.078125,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
3164,0,1,1,0.28125,0,1,0.8660254037844384,0,0.0,1.0,0.0,1.0
13033,1,1,1,0.28125,0,1,-0.5000000000000004,0,0.0,1.0,0.0,1.0
14884,1,2,1,0.359375,2,1,-1.8369701987210297e-16,0,0.0,0.0,0.0,1.0
12640,1,2,3,0.15625,1,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
7298,1,2,1,0.265625,1,1,0.5000000000000001,0,0.0,0.0,0.0,1.0
14720,1,3,5,0.1875,1,1,-0.5000000000000004,0,1.0,0.0,0.0,1.0
5162,0,3,1,0.1875,2,1,-0.8660254037844387,0,0.0,0.0,0.0,1.0
1164,1,1,1,0.34375,0,1,6.123233995736766e-17,0,0.0,1.0,0.0,1.0
